296,0.686182,203.11
2012-09-05,29,"Auto Insurance Standard",1,1.08,1.08
2012-09-09,29,"Auto Insurance Standard",54,1.236667,66.78
2012-09-10,224,"Credit Card HYBRID",17,1.205882,20.5
2012-09-11,29,"Auto Insurance Standard",3,1.25,3.75
2012-09-13,224,"Credit Card HYBRID",1,0.5,0.5
2012-09-14,224,"Credit Card HYBRID",122,0.501967,61.24
2012-09-15,224,"Credit Card HYBRID",45,0.500444,22.52
2012-09-16,224,"Credit Card HYBRID",17,0.501176,8.52
2012-09-17,224,"Credit Card HYBRID",13,0.5,6.5
2012-09-18,224,"Credit Card HYBRID",6,0.5,3.0
2012-09-19,224,"Credit Card HYBRID",5,0.5,2.5
2012-09-20,224,"Credit Card HYBRID",2,0.5,1.0
2012-09-21,224,"Credit Card HYBRID",3,0.513333,1.54
2012-09-22,29,"Auto Insurance Standard",1,0.68,0.68
2012-09-24,224,"Credit Card HYBRID",1,0.5,0.5
2012-09-25,224,"Credit Card HYBRID",1,0.5,0.5
2012-09-26,224,"Credit Card HYBRID",1,0.5,0.5
2012-09-29,224,"Credit Card HYBRID",1,0.5,0.5
2012-09-30,224,"Credit Card HYBRID",1,0.5,0.5
2012-10-01,224,"Credit Card HYBRID",1,0.5,0.5
